Mean,Median,Std,Var,Max,Min,25th Percentile,75th Percentile,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Spectral Rolloff,Peak Frequency,RMS,Spectral Skewness,Spectral Kurtosis,Label
573807.3445764475,65823.50155547787,1762648.5413208317,3106929880220.4556,32730980.550695825,18.704576981759452,22667.034749143677,465183.6140827089,1045.9886763237328,1153.0173300818462,0.15727796286981865,538.2562585922066,376.70544471528746,1853694.890997526,2.5178827414550833,11.245158892330318,crying
59088.452071385385,9520.214730845812,284059.6985277604,80689912327.68213,7290302.636114391,1.063641862989348,2890.3590616293222,27863.069786881875,1053.506255713247,1664.0554659003246,0.14648722642938325,384.33873922779395,379.0911764040623,290140.2376366893,2.6983064435532462,9.607173651046693,crying
94059.3121885901,36728.91084636492,331299.2808120312,109759213466.56908,8303504.536485546,4.846819451182838,20239.996692684115,61250.91921847601,1797.2334482652761,2292.4806865291853,0.36235064866943817,334.3567951247417,156.71807324561917,344392.75206653186,1.240019290474089,3.0355781832609017,crying
209931.20508840523,38181.77518824307,1169516.3061409465,1367768390329.564,27217185.99094993,2.2334049208684257,18629.379565768715,76200.72908437306,1066.0463170918906,1659.3869728000468,0.17806493507809382,386.6672285196578,339.47157726180944,1188208.5259748956,2.6366925710135125,8.862200886930824,crying
162671.47450844862,114912.48099290498,245558.6846283717,60299067596.41611,7331891.824567039,38.101188779171466,63362.25336207737,196205.54255357914,3380.2794221966806,2369.7956328126547,0.6143126059846263,4466.6781037342025,150.96929147366615,294552.33187868155,0.10391455384279472,1.746661485178844,crying
168686.29888174613,78109.24517478622,471840.1391113498,222633116876.61798,10222852.623659804,16.110554872924045,40322.22912001599,144333.81677813057,2167.672026079235,2141.459061273612,0.4295612134083589,382.44680851063833,310.81560283687946,501087.00273210014,1.0122569641306152,2.761866863347498,crying
267254.3908431274,32807.52786082471,854407.6715364044,730012469180.2604,15105924.41660517,4.691452214130432,14190.97254716807,103975.500504291,1135.0188447993046,1110.7471438929301,0.1548503657439715,754.9823618153151,336.1123399235489,895230.3494660977,3.0015270349419985,13.868001050591579,crying
359671.3726517864,118002.88000786309,1208507.5147107507,1460490413112.3552,39281285.318106316,12.165388496640597,56380.68414376912,263974.41871798603,1588.0430617754103,1784.4940173991956,0.3172400320500304,529.8180859477986,379.9841813867651,1260894.0912771283,1.7242217145378027,5.156823612862335,crying
478825.95727460244,61657.38587213385,1201817.2822049684,1444364779806.5364,16759740.130407756,76.55102732535791,27502.959534202168,199303.40214445317,1226.1759276116857,1277.3594700054982,0.172109075127736,1170.3771828490035,610.4911340159936,1293692.0333551087,3.1936157608218325,13.855551570455797,crying
690073.5703187218,145855.9695401174,2345379.411495174,5500804583865.447,54261394.1053699,303.8839786406712,61903.24043786139,539132.8671554343,1332.541129716929,1428.325435335385,0.24432137885343103,408.2772398606082,357.78743884581763,2444791.6304498985,2.0683263767259406,7.4531812317942,crying
