0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-2310.7358,168.96155,89.73631,62.125824,24.097116,-20.31955,-19.241568,5.522614,-21.432621,9.865933,13.760837,42.690937,34.236862,36.09346,-0.8301296,1.0413668,crying
-2122.7788,-1.604806,121.85605,35.709984,-44.23624,63.252728,-29.746082,84.843216,-12.022893,28.85893,-29.235443,17.402885,-24.13732,35.699577,-22.581816,-5.8803196,crying
-2148.0088,82.94133,29.690516,-30.795494,93.24223,58.931587,-8.009898,45.796726,-18.018501,77.695015,-29.004654,1.6073115,-28.199972,18.190794,-58.24785,12.012989,crying
-2233.3323,135.5046,109.80884,-43.869312,-81.13526,35.676495,-58.260704,29.54652,-9.723966,28.376953,16.102468,13.290146,-37.43147,-34.111286,-37.4865,-10.5029545,crying
-2217.2136,291.98157,101.13363,-11.32438,21.937824,49.268127,16.706978,-5.6169877,-29.366375,23.783356,35.87229,28.204603,-29.148338,-24.805496,-26.857,-12.1174135,crying
-2209.7085,234.15247,49.73696,-57.358604,-27.213324,35.261272,-12.032093,41.427876,13.808867,11.540374,-47.554382,-10.489038,22.020035,-1.5906262,-30.66558,-37.428604,crying
-2433.1033,134.66656,62.463768,19.372711,10.886115,25.318808,45.36563,50.844566,28.188967,1.0626616,-18.25665,-13.954755,2.1566951,10.713954,5.6135974,-7.090752,crying
-2356.0686,152.11108,22.335629,23.402742,22.315538,-19.046555,-52.066097,-10.460311,25.944578,13.809307,-3.2826107,5.7774453,-7.778157,-18.361526,-11.9468775,-14.864634,crying
-2212.944,154.08295,43.409115,77.22994,-0.21410422,-20.364157,-7.6581707,27.758816,-24.707417,41.941357,36.88954,4.5445294,-8.542537,-18.249546,-40.095837,4.570682,crying
-1926.3739,40.03027,-42.24096,97.39437,40.88744,19.681154,-59.26067,29.158796,-18.959188,30.106964,-10.583295,38.077187,-11.903671,28.658438,-23.673964,-6.1883526,crying
-2034.2024,56.83496,76.92102,109.63106,-107.93146,-35.750248,-21.204699,71.57172,-31.609898,37.825115,-27.649109,14.6719,-22.959127,-4.602657,-42.563023,-36.11414,crying
-2351.025,54.48334,87.64518,41.78261,3.5597107,75.1486,-9.182663,21.404833,-13.183479,5.186735,-18.397745,6.3077974,-20.692547,-11.626562,-27.540709,-32.691177,crying
-2193.9678,171.66664,132.56664,-22.909115,-21.695559,34.275005,-27.433758,32.604065,20.102833,70.533615,-12.32546,24.305407,-21.98383,33.22335,-14.183684,18.747925,crying
-2244.0613,133.59769,102.90648,22.03651,-6.6704817,37.879395,-22.055433,41.74007,34.96222,59.59365,4.697076,3.0200787,-8.62466,18.842203,-0.73978305,-3.9136035,crying
-2129.4668,271.42038,136.87578,-31.222242,-27.1297,-12.917505,-63.748795,-61.262924,-96.34577,7.5071654,-21.725534,15.022483,-33.73726,-36.31131,-55.454067,-16.836744,crying
-2199.1,148.02513,39.744,-25.816916,-29.075012,49.04159,-25.970024,58.99978,-37.515793,-17.439102,-6.0039635,18.189758,19.224337,-11.23221,-19.296173,-54.308273,crying
-2166.9539,133.92827,34.493237,40.744045,-57.297997,-17.200226,-27.252943,70.98316,64.796364,31.91434,8.738189,28.73851,-32.036873,-4.5905247,-6.597033,-22.637749,crying
-2021.0381,232.46542,45.909023,-12.2600975,-65.23121,52.045918,-41.308304,50.034626,-14.228589,-24.326155,-1.7183764,56.34027,5.505483,-37.856617,-51.687027,-33.15536,crying
-2075.1138,236.6695,67.42875,-3.403341,-55.34936,1.0229839,-39.94558,0.783702,-28.72128,14.260849,-13.769366,-32.279797,-76.471725,13.4513,-27.480433,-41.70276,crying
-2100.4597,208.61723,71.379715,22.38908,13.05683,19.654802,-85.06772,-15.438591,-18.720364,35.971405,-10.00725,23.452696,-17.561426,-36.297062,-55.494724,-18.65961,crying
-2082.4375,321.80865,124.484184,40.40864,37.995262,51.024647,-34.753788,-5.087307,-36.8941,-7.239481,-11.966427,4.6706777,-25.14108,-27.316599,-40.184696,-10.75027,laughing
-1737.6791,221.17578,-46.37954,109.90212,-20.02103,-41.575386,-92.734474,-38.74436,-80.94538,29.118216,-23.7251,13.981527,-34.86216,-19.612864,-6.578457,-12.198138,laughing
